Person id,Name,Origin,Gender,Outcome
1,Joseph,European,M,Subscriber
2,Winny,Far East,F,Non-subscriber
3,Lisa,European,F,Subscriber
4,Tanaka,Far_East,M,Subscriber
5,Ibrahim,South_Asian,M,Subscriber
6,Conrad,Other,M,Non-subscriber
7,Alyssa,Other,F,Subscriber
8,Radha,South_Asian,F,Subscriber
9,Raymond,European,M,Subscriber
10,Lily,Far East,F,Non-subscriber
11,Kerry,European,F,Non-subscriber
12,Cho,Far East,M,Non-subscriber
13,Krishna,South_Asian,M,Subscriber
14,Wuhang,Other,M,Subscriber
15,Waili,Other,F,Subscriber
16,Rashida,South_Asian,F,Non-subscriber
